Date,Service,Region,Amount,Unit
Jun-24,AWS CloudTrail,ap-northeast-1,0.0,USD
Jun-24,AWS CloudTrail,ap-northeast-2,0.0,USD
Jun-24,AWS CloudTrail,ap-northeast-3,0.0,USD
Jun-24,AWS CloudTrail,ap-south-1,0.0,USD
Jun-24,AWS CloudTrail,ap-southeast-1,0.0,USD
Jun-24,AWS CloudTrail,ap-southeast-2,0.0,USD
Jun-24,AWS CloudTrail,ca-central-1,0.0,USD
Jun-24,AWS CloudTrail,eu-central-1,0.0,USD
Jun-24,AWS CloudTrail,eu-north-1,0.0,USD
Jun-24,AWS CloudTrail,eu-west-1,0.0,USD
Jun-24,AWS CloudTrail,eu-west-2,0.0,USD
Jun-24,AWS CloudTrail,eu-west-3,0.0,USD
Jun-24,AWS CloudTrail,sa-east-1,0.0,USD
Jun-24,AWS CloudTrail,us-east-1,0.0,USD
Jun-24,AWS CloudTrail,us-east-2,0.0,USD
Jun-24,AWS CloudTrail,us-west-1,0.0,USD
Jun-24,AWS CloudTrail,us-west-2,0.0,USD
Jun-24,AWS Cost Explorer,us-east-1,0.73,USD
Jun-24,AWS Glue,ap-south-1,0.0,USD
Jun-24,AWS Key Management Service,ap-south-1,0.0263888891,USD
Jun-24,Amazon CloudFront,ap-south-1,1.8e-06,USD
Jun-24,Amazon CloudFront,ap-southeast-1,4.90139e-05,USD
Jun-24,Amazon CloudFront,ca-central-1,3.2222e-06,USD
Jun-24,Amazon CloudFront,eu-west-1,1.54562e-05,USD
Jun-24,Amazon CloudFront,us-east-1,5.22292e-05,USD
Jun-24,Amazon CloudFront,us-west-2,1.35e-05,USD
Jun-24,EC2 - Other,ap-south-1,3.9443236894,USD
Jun-24,EC2 - Other,us-west-2,0.1145869463,USD
Jun-24,Amazon Elastic Compute Cloud - Compute,ap-south-1,15.178430139,USD
Jun-24,Amazon Elastic Compute Cloud - Compute,us-west-2,3.1674819216,USD
Jun-24,Amazon Elastic Load Balancing,ap-south-1,2.873215329,USD
Jun-24,Amazon Elastic Load Balancing,us-west-2,0.4500042501,USD
Jun-24,Amazon Lightsail,ap-south-1,2.258,USD
Jun-24,Amazon Pinpoint,ap-southeast-1,0.027777778,USD
Jun-24,Amazon Pinpoint,us-east-1,0.055555556,USD
Jun-24,Amazon Relational Database Service,ap-south-1,25.3216736542,USD
Jun-24,Amazon Simple Storage Service,ap-south-1,0.0040980609,USD
Jun-24,Amazon Simple Storage Service,us-east-1,6.2484e-05,USD
Jun-24,Amazon Simple Storage Service,us-east-2,1.21853e-05,USD
Jun-24,Amazon Simple Storage Service,us-west-2,2.89645e-05,USD
Jun-24,Amazon Textract,eu-central-1,0.61,USD
Jun-24,Amazon Virtual Private Cloud,ap-south-1,3.155,USD
Jun-24,Amazon Virtual Private Cloud,us-west-2,0.255,USD
Jun-24,AmazonCloudWatch,ap-south-1,1.7322198247,USD
Jun-24,AmazonCloudWatch,ap-southeast-1,1.1e-09,USD
Jun-24,AmazonCloudWatch,global,0.4374999972,USD
Jun-24,AmazonCloudWatch,us-west-2,1.2078966799,USD
Total,,,61.54939157180001,USD
