Instance Type,Market,vCPU,RAM (GiB),Storage,Price ($/h),Price ($/m),Price ($/y),Unit,Terms
t4g.nano,ondemand,2,0.5,EBS only,0.0042,3.024,36.288,hrs,"OnDemand, Reserved"
t3a.nano,ondemand,2,0.5,EBS only,0.0047,3.3840000000000003,40.608000000000004,hrs,"OnDemand, Reserved"
t3.nano,ondemand,2,0.5,EBS only,0.0052,3.7439999999999998,44.928,hrs,"OnDemand, Reserved"
t2.nano,ondemand,1,0.5,EBS only,0.0058,4.176,50.112,hrs,"OnDemand, Reserved"
t4g.micro,ondemand,2,1.0,EBS only,0.0084,6.048,72.576,hrs,"OnDemand, Reserved"
t3a.micro,ondemand,2,1.0,EBS only,0.0094,6.768000000000001,81.21600000000001,hrs,"OnDemand, Reserved"
t2.micro,ondemand,1,1.0,EBS only,0.0116,8.352,100.224,hrs,"OnDemand, Reserved"
t4g.small,ondemand,2,2.0,EBS only,0.0168,12.096,145.152,hrs,"OnDemand, Reserved"
t3.small,ondemand,2,2.0,EBS only,0.0208,14.975999999999999,179.712,hrs,"OnDemand, Reserved"
a1.medium,ondemand,1,2.0,EBS only,0.0255,18.36,220.32,hrs,"OnDemand, Reserved"
t4g.medium,ondemand,2,4.0,EBS only,0.0336,24.192,290.304,hrs,"OnDemand, Reserved"
c6g.medium,ondemand,1,2.0,EBS only,0.034,24.48,293.76,hrs,"OnDemand, Reserved"
c7g.medium,ondemand,1,2.0,EBS only,0.0361,25.992,311.904,hrs,"OnDemand, Reserved"
t3a.medium,ondemand,2,4.0,EBS only,0.0376,27.072000000000003,324.86400000000003,hrs,"OnDemand, Reserved"
c6gd.medium,ondemand,1,2.0,1 x 59 NVMe SSD,0.0384,27.647999999999996,331.77599999999995,hrs,"OnDemand, Reserved"
m6g.medium,ondemand,1,4.0,EBS only,0.0385,27.72,332.64,hrs,"OnDemand, Reserved"
m7g.medium,ondemand,1,4.0,EBS only,0.0408,29.376,352.512,hrs,"OnDemand, Reserved"
c6gn.medium,ondemand,1,2.0,EBS only,0.0432,31.104000000000003,373.24800000000005,hrs,"OnDemand, Reserved"
m6gd.medium,ondemand,1,4.0,1 x 59 NVMe SSD,0.0452,32.544,390.52799999999996,hrs,"OnDemand, Reserved"
c7gd.medium,ondemand,1,2.0,1 x 59 NVMe SSD,0.0454,32.688,392.25600000000003,hrs,"OnDemand, Reserved"
t2.medium,ondemand,2,4.0,EBS only,0.0464,33.408,400.896,hrs,"OnDemand, Reserved"
r6g.medium,ondemand,1,8.0,EBS only,0.0504,36.288,435.45599999999996,hrs,"OnDemand, Reserved"
a1.large,ondemand,2,4.0,EBS only,0.051,36.72,440.64,hrs,"OnDemand, Reserved"
c7a.medium,ondemand,1,2.0,EBS only,0.05132,36.950399999999995,443.4047999999999,hrs,"OnDemand, Reserved"
m7gd.medium,ondemand,1,4.0,1 x 59 NVMe SSD,0.0534,38.448,461.376,hrs,"OnDemand, Reserved"
r7g.medium,ondemand,1,8.0,EBS only,0.0536,38.592,463.104,hrs,"OnDemand, Reserved"
r6gd.medium,ondemand,1,8.0,1 x 59 NVMe SSD,0.0576,41.472,497.664,hrs,"OnDemand, Reserved"
